epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,145.065,0.37783,0.3102,0.77132,0.99889,1,0.995,0.91465,0.39683,0.25479,0.79873,0.0011486,0.0011486,0.0011486
45,148.12,0.38795,0.32975,0.7967,0.99886,1,0.995,0.91413,0.42502,0.26934,0.80147,0.0011288,0.0011288,0.0011288
46,151.164,0.40883,0.33369,0.78217,0.99828,1,0.995,0.92862,0.34801,0.25579,0.79406,0.001109,0.001109,0.001109
47,154.206,0.42718,0.33356,0.80709,0.99884,1,0.995,0.87154,0.44464,0.28083,0.80023,0.0010892,0.0010892,0.0010892
48,157.344,0.42662,0.33784,0.79041,0.99877,1,0.995,0.90813,0.3936,0.26964,0.79974,0.0010694,0.0010694,0.0010694
49,160.383,0.40733,0.31846,0.81514,0.99884,1,0.995,0.91979,0.37564,0.27338,0.7974,0.0010496,0.0010496,0.0010496
50,163.448,0.40537,0.32676,0.79957,0.99884,1,0.995,0.89872,0.40626,0.26198,0.80051,0.0010298,0.0010298,0.0010298
51,166.468,0.39939,0.30526,0.79938,0.99885,1,0.995,0.91359,0.38391,0.24874,0.79674,0.00101,0.00101,0.00101
52,169.776,0.39705,0.31328,0.78244,0.99881,1,0.995,0.91799,0.39291,0.25921,0.80043,0.0009902,0.0009902,0.0009902
53,172.859,0.37669,0.30078,0.79068,0.9989,1,0.995,0.89537,0.44254,0.26351,0.79951,0.0009704,0.0009704,0.0009704
54,175.903,0.36909,0.29471,0.78536,0.99888,1,0.995,0.94123,0.33851,0.25651,0.79333,0.0009506,0.0009506,0.0009506
55,178.962,0.4016,0.30963,0.79407,0.99888,1,0.995,0.89356,0.43778,0.26686,0.80145,0.0009308,0.0009308,0.0009308
56,182.024,0.38223,0.2923,0.78236,0.99884,1,0.995,0.94148,0.40612,0.27399,0.79773,0.000911,0.000911,0.000911
57,185.105,0.37263,0.29863,0.76211,0.99877,1,0.995,0.9406,0.36931,0.24955,0.79549,0.0008912,0.0008912,0.0008912
58,188.172,0.39497,0.3072,0.78781,0.99885,1,0.995,0.92462,0.3861,0.24579,0.79506,0.0008714,0.0008714,0.0008714
59,191.191,0.41713,0.30149,0.79173,0.99882,1,0.995,0.92664,0.36295,0.24649,0.79592,0.0008516,0.0008516,0.0008516
60,194.321,0.36663,0.28899,0.80347,0.99884,1,0.995,0.93379,0.37031,0.25016,0.79434,0.0008318,0.0008318,0.0008318
61,197.357,0.37995,0.29344,0.80998,0.99891,1,0.995,0.92814,0.37438,0.24448,0.7933,0.000812,0.000812,0.000812
62,200.411,0.36935,0.2901,0.78535,0.99889,1,0.995,0.92293,0.3853,0.24907,0.79487,0.0007922,0.0007922,0.0007922
63,203.693,0.39268,0.28532,0.79031,0.99891,1,0.995,0.93577,0.35414,0.23347,0.79234,0.0007724,0.0007724,0.0007724
64,206.807,0.38209,0.28164,0.78398,0.99888,1,0.995,0.92697,0.38223,0.24102,0.79482,0.0007526,0.0007526,0.0007526
65,209.859,0.36932,0.27933,0.7791,0.9989,1,0.995,0.94119,0.3133,0.20905,0.79007,0.0007328,0.0007328,0.0007328
66,212.892,0.35656,0.27317,0.79559,0.99887,1,0.995,0.91738,0.39057,0.23251,0.79777,0.000713,0.000713,0.000713
67,215.958,0.33584,0.26636,0.76904,0.99892,1,0.995,0.95041,0.32569,0.22294,0.79081,0.0006932,0.0006932,0.0006932
68,219.097,0.33103,0.26299,0.7935,0.99887,1,0.995,0.94482,0.34553,0.21599,0.79202,0.0006734,0.0006734,0.0006734
69,222.175,0.33427,0.25557,0.80557,0.99889,1,0.995,0.93938,0.357,0.22636,0.79346,0.0006536,0.0006536,0.0006536
70,225.226,0.35049,0.26339,0.78845,0.99886,1,0.995,0.92322,0.39114,0.23407,0.79561,0.0006338,0.0006338,0.0006338
71,228.262,0.38194,0.26657,0.793,0.99891,1,0.995,0.93502,0.36652,0.22704,0.79259,0.000614,0.000614,0.000614
72,231.307,0.36121,0.27536,0.77221,1,1,0.995,0.9016,0.43623,0.25095,0.79892,0.0005942,0.0005942,0.0005942
73,234.332,0.34897,0.25689,0.79781,0.99803,1,0.995,0.92445,0.37368,0.23266,0.79569,0.0005744,0.0005744,0.0005744
74,237.378,0.33018,0.25815,0.77831,0.9989,1,0.995,0.93652,0.37855,0.2347,0.7945,0.0005546,0.0005546,0.0005546
75,240.639,0.33974,0.25876,0.79287,0.99888,1,0.995,0.93382,0.36443,0.22618,0.79128,0.0005348,0.0005348,0.0005348
76,243.729,0.36888,0.27613,0.79703,0.99889,1,0.995,0.9202,0.40814,0.22924,0.79635,0.000515,0.000515,0.000515
77,246.814,0.34721,0.25595,0.78226,0.9989,1,0.995,0.94605,0.33437,0.2226,0.79062,0.0004952,0.0004952,0.0004952
78,249.805,0.34693,0.24431,0.78035,1,1,0.995,0.92206,0.39176,0.2347,0.79284,0.0004754,0.0004754,0.0004754
79,252.848,0.37661,0.26997,0.81293,0.99892,1,0.995,0.91409,0.41305,0.24122,0.79559,0.0004556,0.0004556,0.0004556
