epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9187,1.43175,4.06708,1.00042,0.00333,1,0.25538,0.11578,0.59849,4.40808,0.78562,0.00024,0.00024,0.00024
2,156.398,0.88291,2.01848,0.85864,0.00333,1,0.0062,0.0046,0.67895,4.3083,0.79762,0.00049505,0.00049505,0.00049505
